#HEADER,,,,,,,,,,,,,,,
#TITLES,,,,,,,,,,,,,,,
,,R1,R2,R3,R4,SG5_1,SG5_2,SG5_3,R6,R7,SG8_1,SG8_2,SG8_3,LVDT,Force[N]
#UNITS,,,,,,,,,,,,,,,
,,microstrain,microstrain,microstrain,microstrain,microstrain,microstrain,mm,mm,mm,mm,mm,mm,mm,mm
#DATATYPES,,,,,,,,,,,,,,,
Integer,Double,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float,Float
,,,,,,,,,,,,,,,
1,0,1,1,1,1,0.17682,0.079159,-0.039136,1,1,0.17682,0.079159,-0.039136,0.0001,-0.00034
2,0.002,1,1,1,1,0.033286,0.079361,0.034511,1,1,0.033286,0.079361,0.034511,0.0001,-0.00034
3,0.004,1,1,1,1,-2.0798,-0.60756,0.67688,1,1,-2.0798,-0.60756,0.67688,0.0001,-0.00034
4,0.006,1,1,1,1,-6.5458,-2.1447,1.9974,1,1,-6.5458,-2.1447,1.9974,0.0001,-0.00034
5,0.008,1,1,1,1,-12.295,-4.1469,3.7116,1,1,-12.295,-4.1469,3.7116,0.0001,-0.00034
6,0.01,1,1,1,1,-19.447,-6.6509,5.8424,1,1,-19.447,-6.6509,5.8424,0.0001,-0.00034
7,0.012,1,1,1,1,-28.17,-9.7077,8.4196,1,1,-28.17,-9.7077,8.4196,0.0001,-0.00034
8,0.014,1,1,1,1,-36.866,-12.733,10.999,1,1,-36.866,-12.733,10.999,0.0001,-0.00034
9,0.016,1,1,1,1,-44.521,-15.385,13.292,1,1,-44.521,-15.385,13.292,0.0001,-0.00034
10,0.018,1,1,1,1,-51.606,-17.87,15.409,1,1,-51.606,-17.87,15.409,0.0001,-0.00034
11,0.02,1,1,1,1,-57.77,-20.05,17.255,1,1,-57.77,-20.05,17.255,0.0001,-0.00034
12,0.022,1,1,1,1,-62.565,-21.726,18.722,1,1,-62.565,-21.726,18.722,0.0001,-0.00034
13,0.024,1,1,1,1,-67.335,-23.379,20.185,1,1,-67.335,-23.379,20.185,0.0001,-0.00034
14,0.026,1,1,1,1,-73.215,-25.433,21.965,1,1,-73.215,-25.433,21.965,0.0001,-0.00034
15,0.028,1,1,1,1,-80.03,-27.83,24.037,1,1,-80.03,-27.83,24.037,0.0001,-0.00034
16,0.03,1,1,1,1,-88.561,-30.848,26.625,1,1,-88.561,-30.848,26.625,0.0001,-0.00034
